Time,System Production (Wh)
01/01/2021,"1049172"
02/01/2021,"492542"
03/01/2021,"3017801"
04/01/2021,"2837348"
05/01/2021,"3317992"
06/01/2021,"3557287"
07/01/2021,"2620752"
08/01/2021,"2775941"
09/01/2021,"2349920"
10/01/2021,"1799663"
11/01/2021,"1559067"
12/01/2021,"835194"
