Time,System Production (Wh)
01/01/2023,"695926"
02/01/2023,"1211918"
03/01/2023,"2313886"
04/01/2023,"2666814"
05/01/2023,"3759964"
06/01/2023,"2801395"
07/01/2023,"3039491"
08/01/2023,"2762854"
09/01/2023,"2084825"
10/01/2023,"1825834"
11/01/2023,"1351179"
12/01/2023,"870418"
