Time,System Production (Wh)
01/01/2024,"579928"
02/01/2024,"1724724"
03/01/2024,"2124648"
04/01/2024,"2558940"
05/01/2024,"3028281"
06/01/2024,"3346057"
07/01/2024,"3056632"
08/01/2024,"2976900"
09/01/2024,"2517494"
10/01/2024,"2114951"
11/01/2024,"726838"
12/01/2024,"0"
