Time,System Production (Wh)
01/01/2019,"0"
02/01/2019,"0"
03/01/2019,"0"
04/01/2019,"1644187.75"
05/01/2019,"2882066"
06/01/2019,"3341905"
07/01/2019,"3796221"
08/01/2019,"3419572"
09/01/2019,"2865819"
10/01/2019,"1504464"
11/01/2019,"1325852"
12/01/2019,"463777"
