Time,System Production (Wh)
01/01/2022,"994903"
02/01/2022,"836012"
03/01/2022,"2160333"
04/01/2022,"2952012"
05/01/2022,"3562444"
06/01/2022,"1688659"
07/01/2022,"0"
08/01/2022,"0"
09/01/2022,"722916"
10/01/2022,"1836026"
11/01/2022,"1393821"
12/01/2022,"954948"
